university_name,desc,Address,City,State,Phone,Email
Gujarat Ayurved University  - Admissions to 2025 - 2026 Academic Year,"Sharing its campus with the Institute of Teaching and Research in Ayurveda, the state-owned Gujarat Ayurved  University in Jamnagar is one of the few universities, both in India and abroad, exclusively devoted to Ayurvedic studies. Learn about the university that offers certificate and bachelor courses in Ayurved through its constituent institutes.","Chanakya Bhavan,Jamnagar - 361 008",Jamnagar,Gujarat,+91 - 288 - 2664866,icasjam@ayurveduniversity.com
Ganpat University  - Admissions to 2025 - 2026 Academic Year,,"Vidyanagar, Mehsana-Gozaria Highway Mehsana - 382711",Mehsana,Gujarat,"91-02762-286080, 286924, 286895",info@ganpatuniversity.ac.in
Dr. Babasaheb Ambedkar Open University  - Admissions to 2025 - 2026 Academic Year,State University,"'Jyotirmay' Parisar,Sarkhej-Gandhinagar Highway,Chharodi, Ahmedabad - 382 481.",Sola,Gujarat,"+91 79 29796223, +91 79 29796224 Toll Free No. 1800 233 1020","feedback@baou.edu.in, help@baou.edu.in"
Gujarat State Fertilizers and Chemicals University  - Admissions to 2025 - 2026 Academic Year,Private University,"Vigyan Bhavan, Fertilizernagar, Vadodara, Gujarat 391750",Fertilizernagar,Gujarat,0265-3093740 / 07573002444,admission@gsfcuniversity.ac.in
Gujarat Law Society (G.L.S.) University  - Admissions to 2025 - 2026 Academic Year,Private University,"GLS Campus, Opposite Law Garden, Ellisbridge, Ahmedabad, Gujarat 380006",Ellisbridge,Gujarat,"+91 79 26440532, 26468513, Fax: +91 79 26445958",info@glsuniversity.ac.in
Dhirubhai Ambani Institute of Information & Communication Technology  - Admissions to 2025 - 2026 Academic Year,,Near Indroda CircleGandhinagar 382 007,Gandhi Nagar,Gujarat,"(+91) 079 - 68261500, 079 - 68261700, Fax - (+91) 079 - 68261710",info@daiict.ac.in
Gujarat National Law University  - Admissions to 2025 - 2026 Academic Year,"Autonomous Body under Department of Higher Education, Ministry of Human Resources and Development","E-4 GIDC,Electronics Estate, Sector 26, Gandhinagar - 382028",Gandhinagar,Gujarat,+91 - 79 - 23287157 / 23287158,contact@gnlu.org.in
Gujarat Technological University  - Admissions to 2025 - 2026 Academic Year,"Looking for a technical university in Ahmedabad, Gujarat? Want to take a master's degree program in engineering? Established in 2007, Gujarat Technological University is a famous academic institution that imparts high-quality education in a wide range of disciplines such as business, engineering, pharmacy, and software development. This is a state-established university accredited by the NBA, NAAC, having affiliated colleges all over the state of Gujrat. Learn about the various courses offered, the admission process, and the university contact details.","Gujarat Technological University,Near Vishwakarma Government Engineering College,Near Visat Three Roads, Visat - Gandhinagar Highway,Chandkheda, Ahmedabad – 382424 - Gujarat.",Ahmedabad,Gujarat,"079-23267521/570, Fax-079-23267580","info@gtu.ac.in, registrar@gtu.ac.in"
Dharmsinh Desai University  - Admissions to 2025 - 2026 Academic Year,,"Dharmsinh Desai University( Formerly D.D.Institute of Technology )ISO 9001:2000Nadiad - 387 001, Gujarat, India.",Nadiad,Gujarat,"+91 268 2520502/3, Fax: +91 268 2520501","registrar@ddu.ac.in, examcontroller@ddu.ac.in"
Charotar University of Science & Technology  - Admissions to 2025 - 2026 Academic Year,Private University,"Charusat Campus, Changa, Taluka Petlad, District Anand, Changa, Gujarat 388421",Changa,Gujarat,"02697 265 011, 02697-265131",pgdcs@charusat.ac.in
